job_id;crunchr_job_id;crunchr_employee_id;crunchr_person_id;crunchr_position_id;employee_id;position_id;first_name;last_name;gender;date_of_birth;date_in_service;date_in_position;fte;employee_status;employee_grade;title;position_grade;solid_line;dotted_line;business_unit_level0;business_unit_level1;business_unit_level2;business_unit_level3;functional_area_level0;functional_area_level1;functional_area_level2;functional_area_level3;location_level0;location_level1;location_level2;location_level3;contract_type;talent_status;potential;mobility;performance_status;retention_risk;retention_risk_reason;solid_line_layer;base_salary;currency;crunchr_reward_id;hire_type;leave_type;cost_center_level0;cost_center_level1;cost_center_level2;cost_center_level3;legal_entity_level0;legal_entity_level1;legal_entity_level2;legal_entity_level3
11;;;;;11;11;Roden;Oda;M;1973-10-31;2009-09-30;2014-09-30;1;Active;Hay Grade 16;VP Innovation;Hay Grade 16;5;2;Global;Sugar & Sweets;Icecream;;Global;R&D;Innovation;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;Unknown;Low;Unknown;Unknown;;69955;EUR;;;;Global;24492;244922;;Sugar & Sweets Holding;Candy sugar store inc;;
12;;;;;12;12;Yahya;Sampson;M;1956-12-03;1988-05-18;2011-07-15;1;Active;Hay Grade 14;Senior Manager;Hay Grade 14;6;2;Global;Sugar & Sweets;Candy;Organic Candy;Global;R&D;Research and Design;;Global;Europe;Netherlands;Rotterdam;Permanent;;Unknown;Global;Unknown;Unknown;Unknown;;34430;EUR;;;;Global;24216;242166;;Sugar & Sweets Holding;Candy sugar store inc;;
13;;;;;13;13;Zarabadi;Racz;M;1972-02-29;2002-06-26;2014-03-17;1;Active;Hay Grade 14;Senior Manager;Hay Grade 14;6;2;Global;Sugar & Sweets;Candy;Caramel Candy;Global;R&D;Research and Design;;Global;North America;United States;New York City;Permanent;;High;Unknown;Medium;Unknown;Unknown;;29892;USD;;;;Global;24216;242169;;Sugar & Sweets Holding;Internet trading inc;;
14;;;;;14;14;Joona;Maarse   ;M;1968-12-26;2007-10-05;2012-06-02;1;Active;Hay Grade 14;Senior Manager;Hay Grade 14;6;2;Global;Sugar & Sweets;Candy;Sour Candy;Global;R&D;Research and Design;;Global;Europe;United Kingdom;Manchester;Permanent;;Low;None;Low;High;Manager;;26007;GBP;;;;Global;24492;244925;;Sugar & Sweets Holding;Internet trading inc;;
15;;;;;15;15;Jeung;Al-bin-Doleh;M;;;;1;Active;Hay Grade 14;Senior Manager;Hay Grade 14;6;2;Global;Sugar & Sweets;Candy;Licorice;Global;R&D;Research and Design;;Global;Europe;Netherlands;Almere;Permanent;;Medium;Unknown;Medium;Unknown;Unknown;;30006;EUR;;;;Global;24216;242168;;Sugar & Sweets Holding;Internet trading inc;;
16;;;;;16;16;Do;Maccioni;M;1983-05-22;2011-10-03;2014-09-30;1;Active;Hay Grade 14;Senior Manager;Hay Grade 14;7;2;Global;Sugar & Sweets;Candy;Licorice;Global;R&D;Research and Design;;Global;Europe;Netherlands;Amsterdam;Permanent;Talent;High;Local;Medium;Unknown;Unknown;;35891;EUR;;;;Global;24492;244926;;Sugar & Sweets Holding;Candy sugar store inc;;
17;;;;;17;17;Salman;Kucera;M;1966-09-18;1998-06-02;2014-09-30;1;Active;Hay Grade 14;Senior Manager;Hay Grade 14;7;2;Global;Sugar & Sweets;Candy;Licorice;Global;R&D;Research and Design;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;Local;Medium;Unknown;Unknown;;35880;EUR;;;;Global;22794;227948;;Sugar & Sweets Holding;Internet trading inc;;
18;;;;;18;18;Hartwell;Riddhi;M;1969-02-12;2000-08-13;2013-08-09;0.2;Active;Hay Grade 14;Senior Manager;Hay Grade 14;7;2;Global;Sugar & Sweets;Chocolate;Milk Chocolate;Global;R&D;Research and Design;;Global;Europe;Netherlands;Amsterdam;Permanent;Talent;High;Unknown;Medium;Unknown;Unknown;;28199;EUR;;;;Global;22794;227945;;Sugar & Sweets Holding;Sweet company inc;;
19;;;;;19;19;Murat;Cuéllar Aristia  ;M;1978-02-18;1996-10-14;2014-01-26;1;Active;Hay Grade 14;Senior Manager;Hay Grade 14;7;2;Global;Sugar & Sweets;Candy;Organic Candy;Global;R&D;Research and Design;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;Unknown;Low;Unknown;Unknown;;29781;EUR;;;;Global;24216;242161;;Sugar & Sweets Holding;Internet trading inc;;
20;;;;;20;20;Luca;Al-Sadat;M;1962-03-10;1996-09-07;2012-11-04;0.6;Active;Hay Grade 14;Regional Director;Hay Grade 14;8;2;Global;Sugar & Sweets;Candy;Lollipops;Global;R&D;Prototype Testing;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;Unknown;Medium;Medium;Manager;;32140;EUR;;;;Global;22794;227949;;Sugar & Sweets Holding;Candy sugar store inc;;
21;;;;;21;21;Tanner;Rana;M;;;;1;Active;Hay Grade 15;Regional Director;Hay Grade 14;8;2;Global;Sugar & Sweets;Candy;Organic Candy;Global;R&D;Prototype Testing;;Global;Europe;Netherlands;Amsterdam;Permanent;;Low;;Unknown;Unknown;Unknown;;31933;EUR;;;;Global;22794;227944;;Sugar & Sweets Holding;Candy sugar store inc;;
22;;;;;22;22;Kunt;Greenberg;M;1969-06-12;1996-05-17;2012-05-11;1;Active;Hay Grade 14;Regional Director;Hay Grade 14;8;2;Global;Sugar & Sweets;Candy;Organic Candy;Global;R&D;Prototype Testing;;Global;Europe;United Kingdom;London;Permanent;;High;Unknown;High;None;None;;26653;GBP;;;;Global;22794;227949;;Sugar & Sweets Holding;Sweet company inc;;
23;;;;;23;23;Rogers;Al Effendi;;1967-04-29;2005-12-16;2013-04-30;1;Active;Hay Grade 14;Regional Director;Hay Grade 14;8;2;Global;Sugar & Sweets;Candy;Sour Candy;Global;R&D;Prototype Testing;;Global;Europe;Netherlands;The Hague;Permanent;;Medium;None;Medium;Medium;Other;;29169;EUR;;;;Global;24216;242161;;Sugar & Sweets Holding;Sweet company inc;;
24;;;;;24;24;Arttu;Mendez Alfonso  ;M;1974-02-18;2001-10-21;2014-04-15;1;Active;Hay Grade 14;Regional Director;Hay Grade 14;9;2;Global;Sugar & Sweets;Candy;Caramel Candy;Global;R&D;Prototype Testing;;Global;Europe;Spain;Madrid;Permanent;;High;Unknown;Medium;Unknown;Unknown;;34010;EUR;;;;Global;24492;244921;;Sugar & Sweets Holding;Sweet company inc;;
25;;;;;25;25;Momolu;Soberanes Diaz Del Castillo;M;1962-10-23;1993-12-20;2011-12-23;1;Active;Hay Grade 14;Regional Director;Hay Grade 14;9;2;Global;Sugar & Sweets;Cakes;Fruit Cakes;Global;R&D;Prototype Testing;;Global;Europe;Netherlands;Amsterdam;Permanent;;Low;Global;Medium;Unknown;Unknown;;27520;EUR;;;;Global;24492;244928;;Sugar & Sweets Holding;Candy sugar store inc;;
26;;;;;26;26;Tarana;Ashcraft;F;1988-11-10;2010-01-24;2014-05-03;0.6;Active;Hay Grade 14;Regional Director;Hay Grade 14;9;2;Global;Sugar & Sweets;Candy;Bubbel Gum;Global;R&D;Prototype Testing;;Global;Europe;United Kingdom;Manchester;Permanent;;Low;Unknown;Low;Unknown;Unknown;;33414;GBP;;;;Global;22794;227941;;Sugar & Sweets Holding;Sweet company inc;;
27;;;;;27;27;Arnau;Jalloh;M;1984-09-07;2010-05-27;2014-09-30;1;Active;Hay Grade 14;Regional Director;Hay Grade 14;9;2;Global;Sugar & Sweets;Chocolate;White Chocolate;Global;R&D;Prototype Testing;;Global;Europe;Netherlands;Amsterdam;Permanent;;Low;Unknown;Low;;;;32128;EUR;;;;Global;24216;242164;;Sugar & Sweets Holding;Internet trading inc;;
28;;;;;28;28;Ekrem;Ming-zing;M;1968-09-27;2007-02-15;2011-11-25;1;Active;Hay Grade 14;Regional Director;Hay Grade 14;10;2;Global;Sugar & Sweets;Candy;Organic Candy;Global;R&D;Innovation;;Global;Europe;Spain;Barcelona;Permanent;;Unknown;None;Medium;Unknown;Unknown;;39626;EUR;;;;Global;24492;244922;;Sugar & Sweets Holding;Internet trading inc;;
29;;;;;29;29;Noah;Koskinen;M;1982-05-22;2011-03-29;2013-06-01;1;Active;Hay Grade 14;Regional Director;Hay Grade 14;10;2;Global;Sugar & Sweets;Cakes;Wedding Cakes;Global;R&D;Innovation;;Global;North America;United States;New York City;Permanent;Talent;High;Global;Low;Unknown;Unknown;;30608;USD;;;;Global;22794;227947;;Sugar & Sweets Holding;Internet trading inc;;
30;;;;;30;30;Zeynab;Wright;F;1977-04-11;2005-10-19;2014-02-15;1;Active;Hay Grade 14;Regional Director;Hay Grade 14;10;2;Global;Sugar & Sweets;Candy;Caramel Candy;Global;R&D;Innovation;;Global;Europe;United Kingdom;Manchester;Temporary;Talent;Medium;Unknown;Low;Unknown;Unknown;;38803;GBP;;;;Global;24216;242163;;Sugar & Sweets Holding;Sweet company inc;;
31;;;;;31;31;Yuval;Johansen;M;;;;1;Active;Hay Grade 14;Regional Director;Hay Grade 14;10;2;Global;Sugar & Sweets;Cakes;Chocolate Cakes;Global;R&D;Innovation;;Global;Europe;Netherlands;Amsterdam;Permanent;;Unknown;;High;High;Career;;31681;EUR;;;;Global;22794;227944;;Sugar & Sweets Holding;Internet trading inc;;
32;;;;;32;32;Javier;Be;M;1978-09-17;2001-12-10;2012-02-04;1;Active;Hay Grade 15;Regional Director;Hay Grade 14;11;2;Global;Sugar & Sweets;Cakes;Fruit Cakes;Global;R&D;Innovation;;Global;Europe;Netherlands;Rotterdam;Permanent;;Medium;Global;Medium;Medium;Manager;;26149;EUR;;;;Global;24216;242166;;Sugar & Sweets Holding;Sweet company inc;;
33;;;;;33;33;Suzelly;Al-Mubi;F;1969-04-13;1997-01-01;2012-03-25;1;Active;Hay Grade 14;Regional Director;Hay Grade 14;11;2;Global;Sugar & Sweets;Chocolate;Dark Chocolate;Global;R&D;Innovation;;Global;Europe;Netherlands;Utrecht;Permanent;;Medium;Local;Low;None;None;;35535;EUR;;;;Global;22794;227941;;Sugar & Sweets Holding;Sweet company inc;;
34;;;;;34;34;Ondrej;Betts;M;1976-09-16;2007-07-18;2014-09-30;1;Active;Hay Grade 14;Regional Director;Hay Grade 14;11;2;Global;Sugar & Sweets;Cakes;Fruit Cakes;Global;R&D;Innovation;;Global;Europe;Netherlands;Rotterdam;Permanent;;Medium;Unknown;Low;None;None;;31620;EUR;;;;Global;24216;242169;;Sugar & Sweets Holding;Sweet company inc;;
35;;;;;35;35;Frasier;Shou-yun;M;1975-09-04;2008-03-24;2013-10-16;1;Active;Hay Grade 15;Regional Director;Hay Grade 14;11;2;Global;Sugar & Sweets;Candy;Chewy Candy;Global;R&D;Innovation;;Global;North America;United States;New York City;Temporary;;High;Unknown;Medium;Medium;Unknown;;39655;USD;;;;Global;24492;244928;;Sugar & Sweets Holding;Sweet company inc;;
36;;;;;36;36;Xue;Farkas;M;1972-09-21;2003-02-12;2014-04-20;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;12;2;Global;Sugar & Sweets;Icecream;Sorbet;Global;R&D;Research and Design;;Global;Europe;United Kingdom;Manchester;Permanent;;High;Unknown;Unknown;Medium;Manager;;26586;GBP;;;;Global;24492;244921;;Sugar & Sweets Holding;Candy sugar store inc;;
37;;;;;37;37;Arman;Foreville;M;1982-07-18;2002-01-01;2013-12-29;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;12;2;Global;Sugar & Sweets;Chocolate;Dark Chocolate;Global;R&D;Research and Design;;Global;Europe;Netherlands;Amsterdam;Permanent;Talent;Medium;;Medium;None;None;;27224;EUR;;;;Global;24492;244926;;Sugar & Sweets Holding;Sweet company inc;;
38;;;;;38;38;Roushdy;van Broekmate  ;M;1981-06-07;2003-02-06;2014-04-16;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;12;2;Global;Sugar & Sweets;Candy;Hard Candy;Global;R&D;Research and Design;;Global;Europe;Netherlands;Amsterdam;Permanent;Talent;High;Regional;Low;Unknown;Unknown;;25150;EUR;;;;Global;22794;227943;;Sugar & Sweets Holding;Internet trading inc;;
39;;;;;39;39;Naroa;Blackwell;;1980-09-28;;2014-09-30;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;12;2;Global;Sugar & Sweets;Icecream;Gelato;Global;R&D;Research and Design;;Global;Europe;Netherlands;Rotterdam;Permanent;;Unknown;Local;Medium;Medium;Manager;;27141;EUR;;;;Global;24216;242166;;Sugar & Sweets Holding;Sweet company inc;;
40;;;;;40;40;Ella;Molnar;F;1952-08-13;1978-01-30;2012-08-23;0.3;Active;Hay Grade 13;Junior Manager;Hay Grade 13;12;2;Global;Sugar & Sweets;Candy;Chewy Candy;Global;R&D;Research and Design;;Global;North America;United States;New York City;Permanent;;Low;Unknown;High;Unknown;Unknown;;28619;USD;;;;Global;22794;227945;;Sugar & Sweets Holding;Candy sugar store inc;;
41;;;;;41;41;Andres;Dvorak;M;1954-12-18;1983-10-19;2009-11-08;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;13;2;Global;Sugar & Sweets;Icecream;Sorbet;Global;R&D;Research and Design;;Global;North America;United States;New York City;Permanent;;High;None;Medium;Unknown;Unknown;;24289;USD;;;;Global;22794;227944;;Sugar & Sweets Holding;Internet trading inc;;
42;;;;;42;42;Zia;Sims;M;1972-11-18;2001-10-24;2014-09-30;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;13;2;Global;Sugar & Sweets;Candy;Chewy Candy;Global;R&D;Research and Design;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;Local;Medium;None;None;;25966;EUR;;;;Global;22794;227943;;Sugar & Sweets Holding;Sweet company inc;;
43;;;;;43;43;Roi;Bian;M;1969-07-29;2000-08-09;2014-09-30;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;13;2;Global;Sugar & Sweets;Candy;Sour Candy;Global;R&D;Research and Design;;Global;Europe;Spain;Madrid;Permanent;;High;Unknown;Medium;Unknown;Unknown;;28778;EUR;;;;Global;24492;244929;;Sugar & Sweets Holding;Internet trading inc;;
44;;;;;44;44;Ashton;Blanco;M;1965-04-15;1990-12-22;2012-10-28;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;13;2;Global;Sugar & Sweets;Chocolate;Dark Chocolate;Global;R&D;Research and Design;;Global;Europe;Netherlands;Amsterdam;Permanent;;High;Unknown;High;Unknown;Unknown;;24559;EUR;;;;Global;24492;244928;;Sugar & Sweets Holding;Candy sugar store inc;;
45;;;;;45;45;Canpolat;Tantawi;M;1966-11-08;1997-02-24;2013-08-21;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;13;2;Global;Sugar & Sweets;Candy;Organic Candy;Global;R&D;Research and Design;;Global;Europe;Spain;Madrid;Fixed Term;;High;Local;Medium;Medium;Other;;24369;EUR;;;;Global;24216;242162;;Sugar & Sweets Holding;Sweet company inc;;
46;;;;;46;46;Vytautas;An;M;1977-12-11;1999-06-07;2012-09-11;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;14;2;Global;Sugar & Sweets;Candy;Sour Candy;Global;R&D;Research and Design;;Global;Europe;Netherlands;Amsterdam;Permanent;Talent;Medium;Unknown;Medium;Unknown;Unknown;;25577;EUR;;;;Global;24216;242169;;Sugar & Sweets Holding;Sweet company inc;;
47;;;;;47;47;Huynh;Parker;F;1994-10-27;2011-06-16;2014-09-30;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;14;2;Global;Sugar & Sweets;Cakes;Chocolate Cakes;Global;R&D;Research and Design;;Global;Europe;Netherlands;Amsterdam;Permanent;;High;Global;Medium;Unknown;Unknown;;28963;EUR;;;;Global;24216;242165;;Sugar & Sweets Holding;Internet trading inc;;
48;;;;;48;48;Krzysztof;Shunji;M;1965-05-16;;2014-09-30;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;14;2;Global;Sugar & Sweets;Icecream;Sorbet;Global;R&D;Research and Design;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;Unknown;Unknown;Medium;Career;;26182;EUR;;;;Global;24216;242162;;Sugar & Sweets Holding;Internet trading inc;;
49;;;;;49;49;Gao;Ilyas;M;1975-11-07;2012-12-24;2014-09-30;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;14;2;Global;Sugar & Sweets;Chocolate;Dark Chocolate;Global;R&D;Research and Design;;Global;Europe;Netherlands;Amsterdam;Permanent;;Low;Unknown;Low;Unknown;Unknown;;25401;EUR;;;;Global;24216;242164;;Sugar & Sweets Holding;Candy sugar store inc;;
50;;;;;50;50;Jaiden;Ate;M;1978-04-11;2009-12-19;2014-06-16;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;14;2;Global;Sugar & Sweets;Candy;Organic Candy;Global;R&D;Research and Design;;Global;Europe;Netherlands;Amsterdam;Permanent;;Unknown;Local;Medium;Medium;Compensation;;29269;EUR;;;;Global;22794;227942;;Sugar & Sweets Holding;Sweet company inc;;
51;;;;;51;51;Sharbal;Okamura;M;1970-03-16;1998-06-22;2014-04-15;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;15;2;Global;Sugar & Sweets;Candy;Organic Candy;Global;R&D;Research and Design;;Global;North America;United States;New York City;Permanent;;Low;;Low;Unknown;Unknown;;27136;USD;;;;Global;24492;244921;;Sugar & Sweets Holding;Internet trading inc;;
52;;;;;52;52;Hazelle;Mahmoud;F;1965-07-19;1982-01-21;2012-05-02;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;15;2;Global;Sugar & Sweets;Candy;Sour Candy;Global;R&D;Research and Design;;Global;Europe;United Kingdom;Manchester;Temporary;;Low;Unknown;Medium;Unknown;Unknown;;29410;GBP;;;;Global;24492;244925;;Sugar & Sweets Holding;Internet trading inc;;
53;;;;;53;53;Fulbright;Patel;M;1983-07-16;2013-03-21;2014-09-30;1;Active;Hay Grade 14;Junior Manager;Hay Grade 13;15;2;Global;Sugar & Sweets;Cakes;Wedding Cakes;Global;R&D;Research and Design;;Global;Europe;Netherlands;The Hague;Permanent;;Medium;None;Medium;Unknown;Unknown;;27140;EUR;;;;Global;24492;244929;;Sugar & Sweets Holding;Sweet company inc;;
54;;;;;54;54;Kendra;Ok-Kyun;F;1976-12-19;1999-06-27;2014-09-30;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;15;2;Global;Sugar & Sweets;Candy;Organic Candy;Global;R&D;Research and Design;;Global;Europe;United Kingdom;Manchester;Permanent;;Low;;Low;None;None;;25328;GBP;;;;Global;24492;244927;;Sugar & Sweets Holding;Sweet company inc;;
55;;;;;55;55;Alexsandr;Chun-ok;M;1985-12-15;2012-12-23;2014-09-30;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;15;2;Global;Sugar & Sweets;Cakes;Wedding Cakes;Global;R&D;Research and Design;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;None;Low;;;;27699;EUR;;;;Global;22794;227947;;Sugar & Sweets Holding;Sweet company inc;;
56;;;;;56;56;Siyanda;Sims;F;1967-09-27;1981-12-13;2012-04-25;1;Active;Hay Grade 14;Junior Manager;Hay Grade 13;16;2;Global;Sugar & Sweets;Candy;Sour Candy;Global;R&D;Research and Design;;Global;Europe;Netherlands;Almere;Permanent;;Medium;;Medium;;;;25297;EUR;;;;Global;24216;242169;;Sugar & Sweets Holding;Internet trading inc;;
57;;;;;57;57;Geoffrey;Wilson;M;1971-05-02;2013-06-25;2014-09-30;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;16;2;Global;Sugar & Sweets;Chocolate;White Chocolate;Global;R&D;Research and Design;;Global;Europe;Spain;Madrid;Temporary;;Medium;Unknown;High;Unknown;Unknown;;24027;EUR;;;;Global;22794;227942;;Sugar & Sweets Holding;Candy sugar store inc;;
58;;;;;58;58;Ying;Jung-Oh;M;1971-03-09;2001-12-19;2014-05-22;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;16;2;Global;Sugar & Sweets;Candy;Licorice;Global;R&D;Research and Design;;Global;Europe;Netherlands;The Hague;Permanent;;Medium;;Medium;Unknown;Unknown;;27749;EUR;;;;Global;24492;244929;;Sugar & Sweets Holding;Internet trading inc;;
59;;;;;59;59;Shuang;Chao;M;1972-01-04;1997-10-10;2013-05-26;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;16;2;Global;Sugar & Sweets;Chocolate;Milk Chocolate;Global;R&D;Research and Design;;Global;Europe;United Kingdom;Glasgow;Permanent;;Medium;Regional;Medium;Unknown;Unknown;;25195;GBP;;;;Global;24492;244925;;Sugar & Sweets Holding;Candy sugar store inc;;
60;;;;;60;60;David;Wan-fu;M;1969-08-21;2006-07-26;2013-05-24;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;16;2;Global;Sugar & Sweets;Candy;Caramel Candy;Global;R&D;Research and Design;;Global;Europe;Netherlands;Amsterdam;Permanent;;Medium;Unknown;Low;Unknown;Unknown;;28769;EUR;;;;Global;24492;244927;;Sugar & Sweets Holding;Sweet company inc;;
61;;;;;61;61;Huynh;Davis;M;1971-10-25;2004-01-06;2014-04-29;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;17;2;Global;Sugar & Sweets;Candy;Caramel Candy;Global;R&D;Research and Design;;Global;Europe;Netherlands;Utrecht;Permanent;;Low;Unknown;Low;Unknown;Unknown;;24915;EUR;;;;Global;22794;227947;;Sugar & Sweets Holding;Candy sugar store inc;;
62;;;;;62;62;Anatoly;Vien;M;1977-06-11;2011-01-14;2014-09-30;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;17;2;Global;Sugar & Sweets;Cakes;Birthday Cakes;Global;R&D;Research and Design;;Global;Europe;Netherlands;Almere;Permanent;;Medium;Regional;Medium;Low;Career;;24550;EUR;;;;Global;22794;227948;;Sugar & Sweets Holding;Candy sugar store inc;;
63;;;;;63;63;James;Dillhoff;M;1971-03-22;1993-06-11;2013-03-15;1;Active;Hay Grade 14;Junior Manager;Hay Grade 13;17;2;Global;Sugar & Sweets;Candy;Bubbel Gum;Global;R&D;Research and Design;;Global;North America;United States;New York City;Permanent;;Medium;;Low;Unknown;Unknown;;26898;USD;;;;Global;24216;242164;;Sugar & Sweets Holding;Candy sugar store inc;;
64;;;;;64;64;Massala;Woody;M;1980-01-28;2002-12-07;2014-09-30;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;17;2;Global;Sugar & Sweets;Icecream;Gelato;Global;R&D;Research and Design;;Global;Europe;Netherlands;Amsterdam;Permanent;;Low;Regional;Low;High;Career;;24867;EUR;;;;Global;24492;244929;;Sugar & Sweets Holding;Sweet company inc;;
65;;;;;65;65;Marjolein;Luik;F;1972-02-27;2000-11-10;2013-10-04;1;Active;Hay Grade 13;Junior Manager;Hay Grade 13;17;2;Global;Sugar & Sweets;Candy;Bubbel Gum;Global;R&D;Research and Design;;Global;North America;United States;New York City;Permanent;;Low;None;High;High;Manager;;27337;USD;;;;Global;24216;242166;;Sugar & Sweets Holding;Sweet company inc;;
